Action,Cap,Game,KAZ,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Action shot,10.0,5,5,8,CAN,4.0,CONWAY J,8 - 5,375,CAN,6:15,Blocked,0
Action shot,9.0,5,5,8,CAN,4.0,UKUMANOV R,8 - 5,327,KAZ,5:27,Missed,0
Action shot,12.0,5,5,8,CAN,4.0,MCELROY J,8 - 5,264,CAN,4:24,Saved,0
Action shot,12.0,5,5,8,CAN,4.0,PEKOVICH B,8 - 5,238,KAZ,3:58,Missed,0
Extra player shot,12.0,5,5,9,CAN,4.0,MCELROY J,9 - 5,191,CAN,3:11,Goal,1
Action shot,12.0,5,5,9,CAN,4.0,PEKOVICH B,9 - 5,173,KAZ,2:53,Saved,0
Action shot,2.0,5,6,9,CAN,4.0,GUBAREV S,9 - 6,159,KAZ,2:39,Goal,1
Action shot,10.0,5,6,9,CAN,4.0,CONWAY J,9 - 6,128,CAN,2:08,Saved,0
Centre shot,2.0,5,7,9,CAN,4.0,GUBAREV S,9 - 7,118,KAZ,1:58,Goal,1
5m shot,11.0,5,7,9,CAN,4.0,TORAKIS G,9 - 7,93,CAN,1:33,Saved,0
5m shot,4.0,6,0,0,RSA,1.0,BADENHORST I,0 - 0,451,RSA,7:31,Saved,0
Extra player shot,3.0,6,1,0,RSA,1.0,AXENOV A,1 - 0,418,KAZ,6:58,Goal,1
Extra player shot,10.0,6,1,0,RSA,1.0,LE ROUX P,1 - 0,382,RSA,6:22,Saved,0
5m shot,3.0,6,1,0,RSA,1.0,AXENOV A,1 - 0,357,KAZ,5:57,Blocked,0
Counter attack,6.0,6,1,1,RSA,1.0,DE CARVALHO J,1 - 1,344,RSA,5:44,Goal,1
5m shot,4.0,6,1,1,RSA,1.0,PILIPENKO R,1 - 1,318,KAZ,5:18,Missed,0
Counter attack,3.0,6,2,1,RSA,1.0,AXENOV A,2 - 1,287,KAZ,4:47,Goal,1
5m shot,2.0,6,2,1,RSA,1.0,LE ROUX E,2 - 1,256,RSA,4:16,Saved,0
Action shot,6.0,6,2,1,RSA,1.0,DE CARVALHO J,2 - 1,196,RSA,3:16,Post,0
Centre shot,10.0,6,2,1,RSA,1.0,LE ROUX P,2 - 1,174,RSA,2:54,Saved,0
Extra player shot,2.0,6,2,1,RSA,1.0,LE ROUX E,2 - 1,151,RSA,2:31,Blocked,0
Extra player shot,10.0,6,2,2,RSA,1.0,LE ROUX P,2 - 2,150,RSA,2:30,Goal,1
Action shot,3.0,6,2,2,RSA,1.0,CARD D,2 - 2,99,RSA,1:39,Saved,0
Action shot,5.0,6,2,2,RSA,1.0,USHAKOV V,2 - 2,74,KAZ,1:14,Missed,0
Counter attack,3.0,6,3,2,RSA,1.0,AXENOV A,3 - 2,43,KAZ,0:43,Goal,1
5m shot,10.0,6,3,2,RSA,1.0,LE ROUX P,3 - 2,12,RSA,0:12,Saved,0
5m shot,9.0,6,4,2,RSA,1.0,UKUMANOV R,4 - 2,2,KAZ,0:02,Goal,1
5m shot,5.0,6,4,2,RSA,1.0,HOCK N,4 - 2,0,RSA,0:00,Blocked,0
Extra player shot,3.0,6,4,2,RSA,2.0,AXENOV A,4 - 2,441,KAZ,7:21,Post,0
Action shot,11.0,6,4,2,RSA,2.0,MANAFOV R,4 - 2,387,KAZ,6:27,Saved,0
Action shot,2.0,6,4,2,RSA,2.0,LE ROUX E,4 - 2,358,RSA,5:58,Post,0
Counter attack,11.0,6,4,3,RSA,2.0,MOLYNEUX N,4 - 3,313,RSA,5:13,Goal,1
Action shot,10.0,6,5,3,RSA,2.0,MEDVEDEV Y,5 - 3,292,KAZ,4:52,Goal,1
Penalty shot,10.0,6,5,4,RSA,2.0,LE ROUX P,5 - 4,275,RSA,4:35,Goal,1
Extra player shot,2.0,6,5,4,RSA,2.0,GUBAREV S,5 - 4,235,KAZ,3:55,Post,0
5m shot,8.0,6,5,4,RSA,2.0,WINGATE-PEARSE J,5 - 4,212,RSA,3:32,Post,0
Action shot,10.0,6,5,4,RSA,2.0,MEDVEDEV Y,5 - 4,187,KAZ,3:07,Blocked,0
Extra player shot,10.0,6,5,4,RSA,2.0,MEDVEDEV Y,5 - 4,146,KAZ,2:26,Saved,0
5m shot,9.0,6,5,4,RSA,2.0,UKUMANOV R,5 - 4,99,KAZ,1:39,Saved,0
Extra player shot,5.0,6,5,4,RSA,2.0,USHAKOV V,5 - 4,0,KAZ,0:00,Saved,0
Action shot,6.0,6,11,6,RSA,4.0,DE CARVALHO J,11 - 6,50,RSA,0:50,Goal,1
Action shot,5.0,6,11,6,RSA,4.0,USHAKOV V,11 - 6,33,KAZ,0:33,Saved,0
Counter attack,11.0,6,11,7,RSA,4.0,MOLYNEUX N,11 - 7,23,RSA,0:23,Goal,1
Action shot,5.0,6,11,7,RSA,3.0,USHAKOV V,11 - 7,427,KAZ,7:07,Saved,0
Extra player shot,2.0,6,11,7,RSA,3.0,LE ROUX E,11 - 7,346,RSA,5:46,Saved,0
5m shot,10.0,6,11,7,RSA,3.0,LE ROUX P,11 - 7,305,RSA,5:05,Missed,0
Counter attack,3.0,6,6,4,RSA,3.0,AXENOV A,6 - 4,291,KAZ,4:51,Goal,1
Action shot,8.0,6,6,4,RSA,3.0,WINGATE-PEARSE J,6 - 4,276,RSA,4:36,Blocked,0
Centre shot,12.0,6,6,4,RSA,3.0,PEKOVICH B,6 - 4,253,KAZ,4:13,Post,0
Extra player shot,7.0,6,6,4,RSA,3.0,JAGGA D,6 - 4,218,RSA,3:38,Blocked,0
5m shot,7.0,6,6,4,RSA,3.0,JAGGA D,6 - 4,200,RSA,3:20,Post,0
5m shot,3.0,6,6,4,RSA,3.0,AXENOV A,6 - 4,171,KAZ,2:51,Saved,0
5m shot,3.0,6,6,4,RSA,3.0,AXENOV A,6 - 4,119,KAZ,1:59,Saved,0
5m shot,2.0,6,6,4,RSA,3.0,LE ROUX E,6 - 4,93,RSA,1:33,Saved,0
Extra player shot,6.0,6,7,4,RSA,3.0,SHMIDER A,7 - 4,62,KAZ,1:02,Goal,1
Penalty shot,10.0,6,7,5,RSA,3.0,LE ROUX P,7 - 5,37,RSA,0:37,Goal,1
5m shot,3.0,6,8,5,RSA,4.0,AXENOV A,8 - 5,446,KAZ,7:26,Goal,1
Extra player shot,4.0,6,8,5,RSA,4.0,BADENHORST I,8 - 5,411,RSA,6:51,Saved,0
Counter attack,2.0,6,9,5,RSA,4.0,GUBAREV S,9 - 5,392,KAZ,6:32,Goal,1
Extra player shot,8.0,6,9,5,RSA,4.0,WINGATE-PEARSE J,9 - 5,347,RSA,5:47,Blocked,0
Action shot,3.0,6,9,5,RSA,4.0,AXENOV A,9 - 5,330,KAZ,5:30,Missed,0
5m shot,2.0,6,9,5,RSA,4.0,LE ROUX E,9 - 5,264,RSA,4:24,Saved,0
Action shot,5.0,6,9,5,RSA,4.0,USHAKOV V,9 - 5,230,KAZ,3:50,Saved,0
Extra player shot,12.0,6,9,5,RSA,4.0,PEKOVICH B,9 - 5,201,KAZ,3:21,Missed,0
Counter attack,3.0,6,10,5,RSA,4.0,AXENOV A,10 - 5,128,KAZ,2:08,Goal,1
Action shot,10.0,6,10,5,RSA,4.0,LE ROUX P,10 - 5,108,RSA,1:48,Saved,0
Extra player shot,5.0,6,10,5,RSA,4.0,USHAKOV V,10 - 5,80,KAZ,1:20,Post,0
Extra player shot,3.0,6,11,5,RSA,4.0,AXENOV A,11 - 5,75,KAZ,1:15,Goal,1
5m shot,3.0,6,11,5,RSA,4.0,CARD D,11 - 5,0,RSA,0:00,Saved,0
