Action,Cap,Game,KAZ,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Starting goalkeeper,1.0,1,0,0,HUN,1.0,NAGY V,0 - 0,480,HUN,8:00
Starting goalkeeper,1.0,1,0,0,HUN,1.0,FEDOROV A,0 - 0,480,KAZ,8:00
Sprint won possession,10.0,1,0,0,HUN,1.0,VARGA D,0 - 0,480,HUN,8:00
Turnover foul,10.0,1,0,0,HUN,1.0,VARGA D,0 - 0,462,HUN,7:42
20 sec. exclusion in centre,8.0,1,0,0,HUN,1.0,KOLIADENKO A,0 - 0,460,KAZ,7:40
5m shot - Post,10.0,1,0,0,HUN,1.0,VARGA D,0 - 0,453,HUN,7:33
Action shot - Saved,2.0,1,0,0,HUN,1.0,GOR-NAGY M,0 - 0,441,HUN,7:21
Turnover foul,4.0,1,0,0,HUN,1.0,PILIPENKO R,0 - 0,421,KAZ,7:01
20 sec. exclusion in centre,12.0,1,0,0,HUN,1.0,PEKOVICH B,0 - 0,392,KAZ,6:32
Extra player shot - Goal,12.0,1,0,1,HUN,1.0,HARAI B,1 - 0,377,HUN,6:17
20 sec. exclusion in centre,2.0,1,0,1,HUN,1.0,GOR-NAGY M,1 - 0,357,HUN,5:57
Extra player shot - Blocked,3.0,1,0,1,HUN,1.0,AXENOV A,1 - 0,337,KAZ,5:37
5m shot - Goal,10.0,1,0,2,HUN,1.0,VARGA D,2 - 0,312,HUN,5:12
Turnover foul,3.0,1,0,2,HUN,1.0,AXENOV A,2 - 0,296,KAZ,4:56
Turnover foul,10.0,1,0,2,HUN,1.0,VARGA D,2 - 0,273,HUN,4:33
20 sec. exclusion in field,4.0,1,0,2,HUN,1.0,ERDELYI B,2 - 0,260,HUN,4:20
Extra player shot - Saved,3.0,1,0,2,HUN,1.0,AXENOV A,2 - 0,246,KAZ,4:06
5m shot - Blocked,2.0,1,0,2,HUN,1.0,GUBAREV S,2 - 0,219,KAZ,3:39
Action shot - Goal,7.0,1,0,3,HUN,1.0,ANGYAL D,3 - 0,196,HUN,3:16
Action shot - Missed,6.0,1,0,3,HUN,1.0,SHMIDER A,3 - 0,174,KAZ,2:54
20 sec. exclusion in centre,4.0,1,0,3,HUN,1.0,PILIPENKO R,3 - 0,144,KAZ,2:24
Extra player shot - Goal,11.0,1,0,4,HUN,1.0,BEDO K,4 - 0,127,HUN,2:07
20 sec. exclusion in centre,6.0,1,0,4,HUN,1.0,HOSNYANSZKY N,4 - 0,103,HUN,1:43
Time-Out,,1,0,4,HUN,1.0,,4 - 0,100,KAZ,1:40
