Action,Cap,FRA,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Starting goalkeeper,13.0,0,1,0,RUS,1.0,KARNAUKH A,0 - 0,480,RUS,8:00
Starting goalkeeper,1.0,0,1,0,RUS,1.0,DERENTY L,0 - 0,480,FRA,8:00
Sprint won possession,7.0,0,1,0,RUS,1.0,LISUNOVA E,0 - 0,480,RUS,8:00
Turnover foul,11.0,0,1,0,RUS,1.0,IVANOVA E,0 - 0,461,RUS,7:41
Steal,2.0,0,1,0,RUS,1.0,MILLOT E,0 - 0,461,FRA,7:41
5m shot - Saved,3.0,0,1,0,RUS,1.0,PROKOFYEVA E,0 - 0,414,RUS,6:54
Centre shot - Goal,4.0,0,1,1,RUS,1.0,KARIMOVA E,1 - 0,409,RUS,6:49
5m shot - Saved,5.0,0,1,1,RUS,1.0,GUILLET L,1 - 0,387,FRA,6:27
Centre shot - Goal,4.0,0,1,2,RUS,1.0,KARIMOVA E,2 - 0,369,RUS,6:09
5m shot - Goal,5.0,1,1,2,RUS,1.0,GUILLET L,2 - 1,340,FRA,5:40
Centre shot - Goal,3.0,1,1,3,RUS,1.0,PROKOFYEVA E,3 - 1,318,RUS,5:18
Action shot - Missed,6.0,1,1,3,RUS,1.0,MAHIEU G,3 - 1,294,FRA,4:54
20 sec. exclusion in centre,4.0,1,1,3,RUS,1.0,SACRE A,3 - 1,271,FRA,4:31
Centre shot - Post,11.0,1,1,3,RUS,1.0,IVANOVA E,3 - 1,249,RUS,4:09
Action shot - Missed,6.0,1,1,3,RUS,1.0,MAHIEU G,3 - 1,207,FRA,3:27
Turnover foul,9.0,1,1,3,RUS,1.0,TIMOFEEVA A,3 - 1,191,RUS,3:11
Penalty foul,8.0,1,1,3,RUS,1.0,TARDY M,3 - 1,191,FRA,3:11
Penalty shot - Goal,11.0,1,1,4,RUS,1.0,IVANOVA E,4 - 1,191,RUS,3:11
Action shot - Missed,3.0,1,1,4,RUS,1.0,BACHELIER L,4 - 1,166,FRA,2:46
20 sec. exclusion in centre,3.0,1,1,4,RUS,1.0,BACHELIER L,4 - 1,148,FRA,2:28
Action shot - Post,8.0,1,1,4,RUS,1.0,ABDRIZIAKOVA E,4 - 1,144,RUS,2:24
Action shot - Goal,7.0,1,1,5,RUS,1.0,LISUNOVA E,5 - 1,124,RUS,2:04
20 sec. exclusion in centre,8.0,1,1,5,RUS,1.0,ABDRIZIAKOVA E,5 - 1,106,RUS,1:46
Time-Out,,1,1,5,RUS,1.0,,5 - 1,106,FRA,1:46
Action shot - Saved,5.0,1,1,5,RUS,1.0,GUILLET L,5 - 1,83,FRA,1:23
Centre shot - Saved,10.0,1,1,5,RUS,1.0,TANKEEVA E,5 - 1,63,RUS,1:03
Turnover foul,2.0,1,1,5,RUS,1.0,MILLOT E,5 - 1,34,FRA,0:34
Steal,13.0,1,1,5,RUS,1.0,KARNAUKH A,5 - 1,34,RUS,0:34
Action shot - Post,4.0,1,1,5,RUS,1.0,KARIMOVA E,5 - 1,22,RUS,0:22
Starting goalkeeper,13.0,1,1,5,RUS,2.0,KARNAUKH A,5 - 1,480,RUS,8:00
Starting goalkeeper,1.0,1,1,5,RUS,2.0,DERENTY L,5 - 1,480,FRA,8:00
Sprint won possession,7.0,1,1,5,RUS,2.0,LISUNOVA E,5 - 1,480,RUS,8:00
5m shot - Post,11.0,1,1,5,RUS,2.0,IVANOVA E,5 - 1,464,RUS,7:44
5m shot - Post,12.0,1,1,5,RUS,2.0,IARONDAIKINA N,5 - 1,444,RUS,7:24
Action shot - Saved,5.0,1,1,5,RUS,2.0,GUILLET L,5 - 1,416,FRA,6:56
5m shot - Goal,9.0,1,1,6,RUS,2.0,TIMOFEEVA A,6 - 1,393,RUS,6:33
Turnover foul,2.0,1,1,6,RUS,2.0,MILLOT E,6 - 1,376,FRA,6:16
Steal,2.0,1,1,6,RUS,2.0,ZUBKOVA T,6 - 1,376,RUS,6:16
Action shot - Goal,2.0,1,1,7,RUS,2.0,ZUBKOVA T,7 - 1,366,RUS,6:06
20 sec. exclusion in centre,11.0,1,1,7,RUS,2.0,IVANOVA E,7 - 1,343,RUS,5:43
Action shot - Post,12.0,1,1,7,RUS,2.0,JASKOVA M,7 - 1,317,FRA,5:17
Centre shot - Saved,5.0,1,1,7,RUS,2.0,GUILLET L,7 - 1,301,FRA,5:01
Turnover foul,11.0,1,1,7,RUS,2.0,IVANOVA E,7 - 1,288,RUS,4:48
20 sec. exclusion in centre,3.0,1,1,7,RUS,2.0,BACHELIER L,7 - 1,286,FRA,4:46
Extra player shot - Goal,6.0,1,1,8,RUS,2.0,SIMANOVICH A,8 - 1,281,RUS,4:41
Action shot - Missed,6.0,1,1,8,RUS,2.0,MAHIEU G,8 - 1,267,FRA,4:27
Turnover foul,3.0,1,1,8,RUS,2.0,PROKOFYEVA E,8 - 1,250,RUS,4:10
Turnover foul,6.0,1,1,8,RUS,2.0,MAHIEU G,8 - 1,221,FRA,3:41
Steal,13.0,1,1,8,RUS,2.0,KARNAUKH A,8 - 1,221,RUS,3:41
5m shot - Post,8.0,1,1,8,RUS,2.0,TARDY M,8 - 1,176,FRA,2:56
Action shot - Saved,5.0,1,1,8,RUS,2.0,GUILLET L,8 - 1,127,FRA,2:07
Turnover foul,12.0,1,1,8,RUS,2.0,IARONDAIKINA N,8 - 1,116,RUS,1:56
Steal,5.0,1,1,8,RUS,2.0,GUILLET L,8 - 1,116,FRA,1:56
20 sec. exclusion in field,12.0,1,1,8,RUS,2.0,JASKOVA M,8 - 1,108,FRA,1:48
20 sec. exclusion in centre,12.0,1,1,8,RUS,2.0,IARONDAIKINA N,8 - 1,108,RUS,1:48
Time-Out,,1,1,8,RUS,2.0,,8 - 1,104,FRA,1:44
Action shot - Goal,2.0,2,1,8,RUS,2.0,MILLOT E,8 - 2,80,FRA,1:20
Action shot - Missed,10.0,2,1,8,RUS,2.0,TANKEEVA E,8 - 2,68,RUS,1:08
5m shot - Goal,5.0,3,1,8,RUS,2.0,GUILLET L,8 - 3,43,FRA,0:43
Action shot - Saved,10.0,3,1,8,RUS,2.0,TANKEEVA E,8 - 3,14,RUS,0:14
5m shot - Saved,7.0,3,1,8,RUS,2.0,BARBIEUX M,8 - 3,0,FRA,0:00
Starting goalkeeper,13.0,3,1,8,RUS,3.0,KARNAUKH A,8 - 3,480,RUS,8:00
Starting goalkeeper,1.0,3,1,8,RUS,3.0,DERENTY L,8 - 3,480,FRA,8:00
Sprint won possession,3.0,3,1,8,RUS,3.0,PROKOFYEVA E,8 - 3,480,RUS,8:00
Action shot - Goal,3.0,3,1,9,RUS,3.0,PROKOFYEVA E,9 - 3,469,RUS,7:49
20 sec. exclusion in centre,12.0,3,1,9,RUS,3.0,IARONDAIKINA N,9 - 3,443,RUS,7:23
Action shot - Goal,5.0,4,1,9,RUS,3.0,GUILLET L,9 - 4,417,FRA,6:57
Turnover foul,7.0,4,1,9,RUS,3.0,LISUNOVA E,9 - 4,390,RUS,6:30
Action shot - Saved,6.0,4,1,9,RUS,3.0,MAHIEU G,9 - 4,361,FRA,6:01
Action shot - Goal,12.0,4,1,10,RUS,3.0,IARONDAIKINA N,10 - 4,347,RUS,5:47
