Action,Cap,Game,JPN,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
5m shot,4.0,5,7,4,BRA,3.0,SHIGA M,4 - 7,385,JPN,6:25,Missed,0
Extra player shot,12.0,5,7,5,BRA,3.0,FREITAS R,5 - 7,380,BRA,6:20,Goal,1
5m shot,11.0,5,7,5,BRA,3.0,OKAWA K,5 - 7,353,JPN,5:53,Saved,0
Action shot,12.0,5,7,5,BRA,3.0,ARAKI K,5 - 7,308,JPN,5:08,Missed,0
5m shot,2.0,5,7,5,BRA,3.0,ADACHI S,5 - 7,266,JPN,4:26,Saved,0
Action shot,2.0,5,7,5,BRA,3.0,ADACHI S,5 - 7,230,JPN,3:50,Saved,0
Action shot,8.0,5,7,5,BRA,3.0,TAKATA M,5 - 7,223,JPN,3:43,Saved,0
5m shot,4.0,5,7,5,BRA,3.0,COUTINHO G,5 - 7,191,BRA,3:11,Saved,0
Action shot,12.0,5,7,5,BRA,3.0,FREITAS R,5 - 7,155,BRA,2:35,Blocked,0
5m shot,4.0,5,7,5,BRA,3.0,SHIGA M,5 - 7,65,JPN,1:05,Post,0
Action shot,2.0,5,7,5,BRA,3.0,CRUZ A,5 - 7,35,BRA,0:35,Missed,0
Penalty shot,7.0,5,8,5,BRA,3.0,SHIMIZU Y,5 - 8,22,JPN,0:22,Goal,1
Action shot,11.0,5,8,5,BRA,3.0,GUIMARAES G,5 - 8,1,BRA,0:01,Saved,0
5m shot,4.0,5,8,5,BRA,4.0,COUTINHO G,5 - 8,452,BRA,7:32,Blocked,0
5m shot,11.0,5,8,6,BRA,4.0,GUIMARAES G,6 - 8,430,BRA,7:10,Goal,1
Action shot,7.0,5,8,6,BRA,4.0,SHIMIZU Y,6 - 8,402,JPN,6:42,Saved,0
5m shot,9.0,5,8,6,BRA,4.0,ROCHA B,6 - 8,374,BRA,6:14,Blocked,0
5m shot,4.0,5,8,7,BRA,4.0,COUTINHO G,7 - 8,313,BRA,5:13,Goal,1
Action shot,10.0,5,8,7,BRA,4.0,INABA K,7 - 8,72,JPN,1:12,Missed,0
5m shot,11.0,5,8,7,BRA,4.0,GUIMARAES G,7 - 8,44,BRA,0:44,Saved,0
5m shot,4.0,5,8,7,BRA,4.0,COUTINHO G,7 - 8,4,BRA,0:04,Saved,0
Centre shot,2.0,6,0,0,ESP,1.0,MUNARRIZ EGANA A,0 - 0,434,ESP,7:14,Saved,0
Counter attack,11.0,6,0,0,ESP,1.0,OKAWA K,0 - 0,414,JPN,6:54,Saved,0
5m shot,6.0,6,0,0,ESP,1.0,MINGUELL ALFEREZ M,0 - 0,393,ESP,6:33,Saved,0
Centre shot,2.0,6,0,0,ESP,1.0,MUNARRIZ EGANA A,0 - 0,347,ESP,5:47,Saved,0
Extra player shot,4.0,6,0,0,ESP,1.0,SHIGA M,0 - 0,320,JPN,5:20,Saved,0
Centre shot,11.0,6,0,0,ESP,1.0,OKAWA K,0 - 0,313,JPN,5:13,Saved,0
Extra player shot,9.0,6,0,0,ESP,1.0,ARAI A,0 - 0,250,JPN,4:10,Saved,0
Action shot,2.0,6,1,0,ESP,1.0,ADACHI S,1 - 0,247,JPN,4:07,Goal,1
Centre shot,9.0,6,1,0,ESP,1.0,TAHULL COMPTE R,1 - 0,208,ESP,3:28,Saved,0
Penalty shot,8.0,6,1,1,ESP,1.0,ESPANOL LIFANTE A,1 - 1,204,ESP,3:24,Goal,1
5m shot,4.0,6,1,1,ESP,1.0,SHIGA M,1 - 1,177,JPN,2:57,Saved,0
Centre shot,9.0,6,1,1,ESP,1.0,TAHULL COMPTE R,1 - 1,137,ESP,2:17,Saved,0
5m shot,4.0,6,1,1,ESP,1.0,SHIGA M,1 - 1,108,JPN,1:48,Saved,0
Counter attack,5.0,6,2,1,ESP,1.0,YOSHIDA T,2 - 1,78,JPN,1:18,Goal,1
5m shot,2.0,6,2,1,ESP,1.0,ADACHI S,2 - 1,33,JPN,0:33,Saved,0
5m shot,8.0,6,2,1,ESP,1.0,ESPANOL LIFANTE A,2 - 1,1,ESP,0:01,,0
Action shot,8.0,6,2,2,ESP,2.0,ESPANOL LIFANTE A,2 - 2,452,ESP,7:32,Goal,1
Centre shot,12.0,6,2,3,ESP,2.0,GUTIERREZ SANTIAGO,2 - 3,417,ESP,6:57,Goal,1
5m shot,7.0,6,2,3,ESP,2.0,SHIMIZU Y,2 - 3,388,JPN,6:28,Blocked,0
Counter attack,4.0,6,3,3,ESP,2.0,SHIGA M,3 - 3,356,JPN,5:56,Goal,1
Penalty shot,8.0,6,3,4,ESP,2.0,ESPANOL LIFANTE A,3 - 4,333,ESP,5:33,Goal,1
Extra player shot,4.0,6,4,4,ESP,2.0,SHIGA M,4 - 4,304,JPN,5:04,Goal,1
Extra player shot,11.0,6,4,5,ESP,2.0,MALLARACH GUELL B,4 - 5,272,ESP,4:32,Goal,1
Centre shot,9.0,6,4,5,ESP,2.0,TAHULL COMPTE R,4 - 5,229,ESP,3:49,Saved,0
5m shot,9.0,6,4,5,ESP,2.0,ARAI A,4 - 5,147,JPN,2:27,Post,0
Centre shot,4.0,6,4,5,ESP,4.0,SHIGA M,4 - 5,311,JPN,5:11,Saved,0
5m shot,2.0,6,4,5,ESP,4.0,MUNARRIZ EGANA A,4 - 5,282,ESP,4:42,Saved,0
Action shot,9.0,6,4,5,ESP,4.0,ARAI A,4 - 5,255,JPN,4:15,Blocked,0
5m shot,8.0,6,4,5,ESP,4.0,ESPANOL LIFANTE A,4 - 5,232,ESP,3:52,Missed,0
Action shot,11.0,6,10,13,ESP,4.0,OKAWA K,10 - 13,217,JPN,3:37,Goal,1
5m shot,7.0,6,10,13,ESP,4.0,BARROSO MACARRO A,10 - 13,194,ESP,3:14,Missed,0
Penalty shot,2.0,6,11,13,ESP,4.0,ADACHI S,11 - 13,137,JPN,2:17,Goal,1
Centre shot,9.0,6,4,6,ESP,2.0,TAHULL COMPTE R,4 - 6,125,ESP,2:05,Goal,1
Penalty shot,2.0,6,5,6,ESP,2.0,ADACHI S,5 - 6,108,JPN,1:48,Goal,1
Centre shot,12.0,6,5,6,ESP,2.0,GUTIERREZ SANTIAGO,5 - 6,90,ESP,1:30,Saved,0
Extra player shot,11.0,6,5,7,ESP,2.0,MALLARACH GUELL B,5 - 7,35,ESP,0:35,Goal,1
Centre shot,7.0,6,5,7,ESP,2.0,SHIMIZU Y,5 - 7,8,JPN,0:08,Blocked,0
Action shot,9.0,6,6,7,ESP,2.0,ARAI A,6 - 7,6,JPN,0:06,Goal,1
5m shot,5.0,6,6,7,ESP,2.0,BUSTOS SANCHEZ A,6 - 7,1,ESP,0:01,Missed,0
Extra player shot,12.0,6,6,8,ESP,3.0,GUTIERREZ SANTIAGO,6 - 8,429,ESP,7:09,Goal,1
5m shot,2.0,6,6,8,ESP,3.0,MUNARRIZ EGANA A,6 - 8,386,ESP,6:26,Missed,0
Penalty shot,2.0,6,6,8,ESP,3.0,ADACHI S,6 - 8,366,JPN,6:06,Saved,0
Centre shot,2.0,6,6,8,ESP,3.0,ADACHI S,6 - 8,345,JPN,5:45,Post,0
Action shot,11.0,6,7,8,ESP,3.0,OKAWA K,7 - 8,311,JPN,5:11,Goal,1
Centre shot,8.0,6,7,8,ESP,3.0,ESPANOL LIFANTE A,7 - 8,293,ESP,4:53,Saved,0
Centre shot,11.0,6,7,8,ESP,3.0,MALLARACH GUELL B,7 - 8,274,ESP,4:34,Missed,0
5m shot,5.0,6,7,8,ESP,3.0,BUSTOS SANCHEZ A,7 - 8,234,ESP,3:54,Saved,0
Action shot,2.0,6,7,8,ESP,3.0,ADACHI S,7 - 8,216,JPN,3:36,Saved,0
Action shot,2.0,6,7,9,ESP,3.0,MUNARRIZ EGANA A,7 - 9,164,ESP,2:44,Goal,1
Extra player shot,9.0,6,8,9,ESP,3.0,ARAI A,8 - 9,111,JPN,1:51,Goal,1
Action shot,12.0,6,8,10,ESP,3.0,GUTIERREZ SANTIAGO,8 - 10,88,ESP,1:28,Goal,1
Penalty shot,11.0,6,9,10,ESP,3.0,OKAWA K,9 - 10,35,JPN,0:35,Goal,1
5m shot,11.0,6,9,10,ESP,3.0,MALLARACH GUELL B,9 - 10,13,ESP,0:13,Saved,0
Penalty shot,8.0,6,9,11,ESP,3.0,ESPANOL LIFANTE A,9 - 11,1,ESP,0:01,Goal,1
5m shot,11.0,6,9,11,ESP,4.0,OKAWA K,9 - 11,461,JPN,7:41,Saved,0
Centre shot,9.0,6,9,11,ESP,4.0,TAHULL COMPTE R,9 - 11,420,ESP,7:00,Saved,0
Centre shot,9.0,6,9,12,ESP,4.0,TAHULL COMPTE R,9 - 12,390,ESP,6:30,Goal,1
Action shot,8.0,6,9,13,ESP,4.0,ESPANOL LIFANTE A,9 - 13,347,ESP,5:47,Goal,1
Action shot,7.0,6,9,13,ESP,4.0,SHIMIZU Y,9 - 13,319,JPN,5:19,Missed,0
Action shot,9.0,6,9,13,ESP,4.0,TAHULL COMPTE R,9 - 13,54,ESP,0:54,Post,0
Action shot,11.0,6,9,13,ESP,4.0,MALLARACH GUELL B,9 - 13,14,ESP,0:14,Saved,0
