Action,Cap,ESP,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Starting goalkeeper,1.0,0,1,0,NZL,1.0,MILICICH J,0 - 0,480,NZL,8:00
Starting goalkeeper,1.0,0,1,0,NZL,1.0,ESTER RAMOS L,0 - 0,480,ESP,8:00
Sprint won possession,3.0,0,1,0,NZL,1.0,ESPAR LLAQUET A,0 - 0,480,ESP,8:00
Turnover foul,3.0,0,1,0,NZL,1.0,ESPAR LLAQUET A,0 - 0,453,ESP,7:33
Steal,8.0,0,1,0,NZL,1.0,LOPES da SILVA C,0 - 0,453,NZL,7:33
5m shot - Missed,9.0,0,1,0,NZL,1.0,STONEMAN E,0 - 0,424,NZL,7:04
Action shot - Goal,3.0,1,1,0,NZL,1.0,ESPAR LLAQUET A,0 - 1,410,ESP,6:50
Turnover foul,12.0,1,1,0,NZL,1.0,PYE B,0 - 1,395,NZL,6:35
Steal,7.0,1,1,0,NZL,1.0,ESPAR LLAQUET C,0 - 1,395,ESP,6:35
Turnover foul,3.0,1,1,0,NZL,1.0,ESPAR LLAQUET A,0 - 1,386,ESP,6:26
5m shot - Post,8.0,1,1,0,NZL,1.0,LOPES da SILVA C,0 - 1,343,NZL,5:43
20 sec. exclusion in centre,3.0,1,1,0,NZL,1.0,MASON K,0 - 1,337,NZL,5:37
Turnover foul,4.0,1,1,0,NZL,1.0,ORTIZ MUNOZ B,0 - 1,321,ESP,5:21
Steal,12.0,1,1,0,NZL,1.0,PYE B,0 - 1,321,NZL,5:21
5m shot - Blocked,9.0,1,1,0,NZL,1.0,STONEMAN E,0 - 1,294,NZL,4:54
Turnover foul,9.0,1,1,0,NZL,1.0,STONEMAN E,0 - 1,279,NZL,4:39
Action shot - Missed,7.0,1,1,0,NZL,1.0,ESPAR LLAQUET C,0 - 1,258,ESP,4:18
Steal,7.0,1,1,0,NZL,1.0,ESPAR LLAQUET C,0 - 1,244,ESP,4:04
Turnover foul,11.0,1,1,0,NZL,1.0,HUDSON K,0 - 1,242,NZL,4:02
Centre shot - Goal,12.0,2,1,0,NZL,1.0,LEITON ARRONES P,0 - 2,239,ESP,3:59
5m shot - Post,7.0,2,1,0,NZL,1.0,HOUGHTON E,0 - 2,209,NZL,3:29
Turnover foul,6.0,2,1,0,NZL,1.0,LLORET GOMEZ H,0 - 2,180,ESP,3:00
Steal,6.0,2,1,0,NZL,1.0,LLORET GOMEZ H,0 - 2,180,ESP,3:00
20 sec. exclusion in field,8.0,2,1,0,NZL,1.0,LOPES da SILVA C,0 - 2,164,NZL,2:44
Extra player shot - Goal,6.0,3,1,0,NZL,1.0,LLORET GOMEZ H,0 - 3,156,ESP,2:36
20 sec. exclusion in field,9.0,3,1,0,NZL,1.0,FORCA ARIZA J,0 - 3,142,ESP,2:22
Time-Out,,3,1,0,NZL,1.0,,0 - 3,141,NZL,2:21
Turnover foul,8.0,3,1,0,NZL,1.0,LOPES da SILVA C,0 - 3,116,NZL,1:56
Turnover foul,10.0,3,1,0,NZL,1.0,CRESPI BARRIGA P,0 - 3,95,ESP,1:35
Steal,3.0,3,1,0,NZL,1.0,MASON K,0 - 3,95,NZL,1:35
Turnover foul,8.0,3,1,0,NZL,1.0,LOPES da SILVA C,0 - 3,74,NZL,1:14
Steal,10.0,3,1,0,NZL,1.0,CRESPI BARRIGA P,0 - 3,74,ESP,1:14
Action shot - Saved,11.0,3,1,0,NZL,1.0,GUAL ROVIROSA A,0 - 3,51,ESP,0:51
Turnover foul,10.0,3,1,0,NZL,1.0,CRESPI BARRIGA P,0 - 3,37,ESP,0:37
20 sec. exclusion in field,11.0,3,1,0,NZL,1.0,GUAL ROVIROSA A,0 - 3,23,ESP,0:23
Extra player shot - Post,2.0,3,1,0,NZL,1.0,LEWIS N,0 - 3,10,NZL,0:10
Time-Out,,3,1,0,NZL,1.0,,0 - 3,10,ESP,0:10
Action shot - Saved,9.0,3,1,0,NZL,1.0,FORCA ARIZA J,0 - 3,2,ESP,0:02
Starting goalkeeper,1.0,3,1,0,NZL,2.0,MILICICH J,0 - 3,480,NZL,8:00
Starting goalkeeper,1.0,3,1,0,NZL,2.0,ESTER RAMOS L,0 - 3,480,ESP,8:00
Sprint won possession,3.0,3,1,0,NZL,2.0,ESPAR LLAQUET A,0 - 3,480,ESP,8:00
20 sec. exclusion in centre,5.0,3,1,0,NZL,2.0,BOYD A,0 - 3,456,NZL,7:36
Action shot - Saved,8.0,3,1,0,NZL,2.0,LOPES da SILVA C,0 - 3,421,NZL,7:01
Turnover foul,12.0,3,1,0,NZL,2.0,LEITON ARRONES P,0 - 3,391,ESP,6:31
Steal,10.0,3,1,0,NZL,2.0,BOWRY C,0 - 3,391,NZL,6:31
20 sec. exclusion in field,12.0,3,1,0,NZL,2.0,LEITON ARRONES P,0 - 3,374,ESP,6:14
Extra player shot - Saved,3.0,3,1,0,NZL,2.0,MASON K,0 - 3,355,NZL,5:55
Action shot - Saved,4.0,3,1,0,NZL,2.0,ORTIZ MUNOZ B,0 - 3,342,ESP,5:42
5m shot - Goal,8.0,3,1,1,NZL,2.0,LOPES da SILVA C,1 - 3,316,NZL,5:16
Yellow card,,3,1,1,NZL,2.0,Team Official,1 - 3,316,NZL,5:16
Turnover foul,4.0,3,1,1,NZL,2.0,ORTIZ MUNOZ B,1 - 3,288,ESP,4:48
Steal,6.0,3,1,1,NZL,2.0,DOYLE B,1 - 3,288,NZL,4:48
Turnover foul,9.0,3,1,1,NZL,2.0,STONEMAN E,1 - 3,269,NZL,4:29
5m shot - Missed,3.0,3,1,1,NZL,2.0,MASON K,1 - 3,251,NZL,4:11
Turnover foul,9.0,3,1,1,NZL,2.0,FORCA ARIZA J,1 - 3,227,ESP,3:47
Steal,6.0,3,1,1,NZL,2.0,DOYLE B,1 - 3,227,NZL,3:47
Turnover foul,6.0,3,1,1,NZL,2.0,DOYLE B,1 - 3,221,NZL,3:41
Steal,6.0,3,1,1,NZL,2.0,LLORET GOMEZ H,1 - 3,221,ESP,3:41
20 sec. exclusion in centre,3.0,3,1,1,NZL,2.0,MASON K,1 - 3,204,NZL,3:24
Extra player shot - Goal,6.0,4,1,1,NZL,2.0,LLORET GOMEZ H,1 - 4,199,ESP,3:19
Turnover foul,4.0,4,1,1,NZL,2.0,FERIGO R,1 - 4,169,NZL,2:49
Turnover foul,8.0,4,1,1,NZL,4.0,LOPES da SILVA C,1 - 4,151,NZL,2:31
20 sec. exclusion in centre,9.0,4,1,1,NZL,4.0,STONEMAN E,1 - 4,140,NZL,2:20
Extra player shot - Goal,11.0,9,1,2,NZL,4.0,GUAL ROVIROSA A,2 - 9,130,ESP,2:10
5m shot - Saved,8.0,9,1,2,NZL,4.0,LOPES da SILVA C,2 - 9,101,NZL,1:41
20 sec. exclusion in centre,3.0,9,1,2,NZL,4.0,MASON K,2 - 9,79,NZL,1:19
Exclusion with substitution,3.0,9,1,2,NZL,4.0,MASON K,2 - 9,79,NZL,1:19
Steal,4.0,9,1,2,NZL,2.0,ORTIZ MUNOZ B,2 - 9,169,ESP,2:49
Turnover foul,10.0,9,1,2,NZL,2.0,CRESPI BARRIGA P,2 - 9,140,ESP,2:20
20 sec. exclusion in centre,6.0,9,1,2,NZL,2.0,LLORET GOMEZ H,2 - 9,118,ESP,1:58
Action shot - Post,4.0,9,1,2,NZL,2.0,ORTIZ MUNOZ B,2 - 9,89,ESP,1:29
Turnover foul,8.0,9,1,2,NZL,2.0,LOPES da SILVA C,2 - 9,75,NZL,1:15
Action shot - Saved,9.0,9,1,2,NZL,2.0,FORCA ARIZA J,2 - 9,61,ESP,1:01
Turnover foul,3.0,9,1,2,NZL,2.0,ESPAR LLAQUET A,2 - 9,55,ESP,0:55
Action shot - Saved,7.0,9,1,2,NZL,2.0,HOUGHTON E,2 - 9,27,NZL,0:27
5m shot - Saved,4.0,9,1,2,NZL,2.0,ORTIZ MUNOZ B,2 - 9,1,ESP,0:01
Starting goalkeeper,1.0,9,1,2,NZL,3.0,MILICICH J,2 - 9,480,NZL,8:00
Starting goalkeeper,1.0,9,1,2,NZL,3.0,ESTER RAMOS L,2 - 9,480,ESP,8:00
Sprint won possession,3.0,9,1,2,NZL,3.0,ESPAR LLAQUET A,2 - 9,480,ESP,8:00
Turnover foul,12.0,9,1,2,NZL,3.0,LEITON ARRONES P,2 - 9,451,ESP,7:31
20 sec. exclusion in centre,9.0,9,1,2,NZL,3.0,STONEMAN E,2 - 9,400,NZL,6:40
5m shot - Saved,4.0,9,1,2,NZL,3.0,ORTIZ MUNOZ B,2 - 9,376,ESP,6:16
Action shot - Missed,4.0,9,1,2,NZL,3.0,FERIGO R,2 - 9,352,NZL,5:52
Action shot - Saved,7.0,9,1,2,NZL,3.0,ESPAR LLAQUET C,2 - 9,342,ESP,5:42
20 sec. exclusion in field,7.0,9,1,2,NZL,3.0,ESPAR LLAQUET C,2 - 9,324,ESP,5:24
Action shot - Missed,4.0,9,1,2,NZL,3.0,FERIGO R,2 - 9,296,NZL,4:56
Action shot - Saved,4.0,9,1,2,NZL,3.0,ORTIZ MUNOZ B,2 - 9,283,ESP,4:43
20 sec. exclusion in field,11.0,9,1,2,NZL,3.0,GUAL ROVIROSA A,2 - 9,262,ESP,4:22
Time-Out,,9,1,2,NZL,3.0,,2 - 9,262,NZL,4:22
Turnover foul,3.0,9,1,2,NZL,3.0,MASON K,2 - 9,236,NZL,3:56
Steal,6.0,9,1,2,NZL,3.0,LLORET GOMEZ H,2 - 9,236,ESP,3:56
Action shot - Post,11.0,9,1,2,NZL,3.0,GUAL ROVIROSA A,2 - 9,215,ESP,3:35
5m shot - Post,11.0,9,1,2,NZL,3.0,HUDSON K,2 - 9,186,NZL,3:06
Action shot - Goal,9.0,5,1,1,NZL,3.0,FORCA ARIZA J,1 - 5,167,ESP,2:47
Turnover foul,2.0,5,1,1,NZL,3.0,LEWIS N,1 - 5,148,NZL,2:28
Steal,2.0,5,1,1,NZL,3.0,BACH PASCUAL M,1 - 5,148,ESP,2:28
Centre shot - Saved,2.0,5,1,1,NZL,3.0,BACH PASCUAL M,1 - 5,140,ESP,2:20
Turnover foul,6.0,5,1,1,NZL,3.0,DOYLE B,1 - 5,118,NZL,1:58
Steal,11.0,5,1,1,NZL,3.0,GUAL ROVIROSA A,1 - 5,118,ESP,1:58
Penalty foul,7.0,5,1,1,NZL,3.0,HOUGHTON E,1 - 5,93,NZL,1:33
Penalty shot - Goal,3.0,6,1,1,NZL,3.0,ESPAR LLAQUET A,1 - 6,93,ESP,1:33
20 sec. exclusion in field,8.0,6,1,1,NZL,3.0,PENA CARRASCO M,1 - 6,77,ESP,1:17
Extra player shot - Missed,8.0,6,1,1,NZL,3.0,LOPES da SILVA C,1 - 6,58,NZL,0:58
Turnover foul,12.0,6,1,1,NZL,3.0,LEITON ARRONES P,1 - 6,32,ESP,0:32
Steal,4.0,6,1,1,NZL,3.0,FERIGO R,1 - 6,32,NZL,0:32
5m shot - Saved,3.0,6,1,1,NZL,3.0,ESPAR LLAQUET A,1 - 6,6,ESP,0:06
5m shot - Missed,9.0,6,1,1,NZL,3.0,FORCA ARIZA J,1 - 6,1,ESP,0:01
Starting goalkeeper,1.0,6,1,1,NZL,4.0,MILICICH J,1 - 6,480,NZL,8:00
Starting goalkeeper,1.0,6,1,1,NZL,4.0,ESTER RAMOS L,1 - 6,480,ESP,8:00
,3.0,6,1,1,NZL,4.0,ESPAR LLAQUET A,1 - 6,480,ESP,8:00
Action shot - Goal,12.0,7,1,1,NZL,4.0,LEITON ARRONES P,1 - 7,453,ESP,7:33
Turnover foul,6.0,7,1,1,NZL,4.0,DOYLE B,1 - 7,435,NZL,7:15
Steal,4.0,7,1,1,NZL,4.0,ORTIZ MUNOZ B,1 - 7,435,ESP,7:15
Turnover foul,10.0,7,1,1,NZL,4.0,CRESPI BARRIGA P,1 - 7,414,ESP,6:54
5m shot - Post,7.0,7,1,1,NZL,4.0,HOUGHTON E,1 - 7,386,NZL,6:26
Turnover foul,8.0,7,1,1,NZL,4.0,PENA CARRASCO M,1 - 7,372,ESP,6:12
Counter attack - Saved,8.0,7,1,1,NZL,4.0,LOPES da SILVA C,1 - 7,362,NZL,6:02
5m shot - Missed,7.0,7,1,1,NZL,4.0,ESPAR LLAQUET C,1 - 7,342,ESP,5:42
5m shot - Goal,3.0,7,1,2,NZL,4.0,MASON K,2 - 7,314,NZL,5:14
Turnover foul,10.0,7,1,2,NZL,4.0,CRESPI BARRIGA P,2 - 7,292,ESP,4:52
20 sec. exclusion in centre,6.0,7,1,2,NZL,4.0,LLORET GOMEZ H,2 - 7,274,ESP,4:34
Extra player shot - Saved,7.0,7,1,2,NZL,4.0,HOUGHTON E,2 - 7,255,NZL,4:15
20 sec. exclusion in field,5.0,7,1,2,NZL,4.0,BOYD A,2 - 7,236,NZL,3:56
Extra player shot - Missed,3.0,7,1,2,NZL,4.0,ESPAR LLAQUET A,2 - 7,220,ESP,3:40
Turnover foul,4.0,7,1,2,NZL,4.0,FERIGO R,2 - 7,201,NZL,3:21
Steal,3.0,7,1,2,NZL,4.0,ESPAR LLAQUET A,2 - 7,201,ESP,3:21
20 sec. exclusion in field,4.0,7,1,2,NZL,4.0,FERIGO R,2 - 7,191,NZL,3:11
Extra player shot - Goal,10.0,8,1,2,NZL,4.0,CRESPI BARRIGA P,2 - 8,172,ESP,2:52
Extra player shot - Goal,,10 ESP,1,2,NZL,4.0,LEITON ARRONES P,2 - 10 ESP,67,12,1:07
20 sec. exclusion in centre,,,1,ESP,NZL,4.0,BACH PASCUAL M,ESP,48,2,0:48
Time-Out,,,1,NZL,NZL,4.0,,NZL,47,,0:47
Extra player shot - Post,,,1,NZL,NZL,4.0,PYE B,NZL,28,12,0:28
20 sec. exclusion in field,,,1,NZL,NZL,4.0,BOWRY C,NZL,26,10,0:26
5m shot - Post,,,1,ESP,NZL,4.0,ORTIZ MUNOZ B,ESP,1,4,0:01
Starting goalkeeper,1.0,0,2,0,USA,1.0,STONE G,0 - 0,480,USA,8:00
Starting goalkeeper,1.0,0,2,0,USA,1.0,ESTER RAMOS L,0 - 0,480,ESP,8:00
Sprint won possession,3.0,0,2,0,USA,1.0,ESPAR LLAQUET A,0 - 0,480,ESP,8:00
20 sec. exclusion in centre,11.0,0,2,0,USA,1.0,FISCHER M,0 - 0,451,USA,7:31
Extra player shot - Goal,4.0,1,2,0,USA,1.0,ORTIZ MUNOZ B,0 - 1,435,ESP,7:15
Action shot - Saved,2.0,1,2,0,USA,1.0,MUSSELMAN M,0 - 1,408,USA,6:48
Turnover foul,8.0,1,2,0,USA,1.0,PENA CARRASCO M,0 - 1,379,ESP,6:19
Action shot - Goal,2.0,1,2,1,USA,1.0,MUSSELMAN M,1 - 1,367,USA,6:07
Turnover foul,8.0,1,2,1,USA,1.0,PENA CARRASCO M,1 - 1,335,ESP,5:35
Steal,2.0,1,2,1,USA,1.0,MUSSELMAN M,1 - 1,335,USA,5:35
5m shot - Goal,2.0,1,2,2,USA,1.0,MUSSELMAN M,2 - 1,311,USA,5:11
5m shot - Saved,4.0,1,2,2,USA,1.0,ORTIZ MUNOZ B,2 - 1,283,ESP,4:43
5m shot - Missed,11.0,1,2,2,USA,1.0,GUAL ROVIROSA A,2 - 1,259,ESP,4:19
Centre shot - Goal,8.0,1,2,3,USA,1.0,NEUSHUL K,3 - 1,247,USA,4:07
20 sec. exclusion in centre,7.0,1,2,3,USA,1.0,RANEY J,3 - 1,224,USA,3:44
Turnover foul,3.0,1,2,3,USA,1.0,ESPAR LLAQUET A,3 - 1,208,ESP,3:28
20 sec. exclusion in centre,2.0,1,2,3,USA,1.0,BACH PASCUAL M,3 - 1,181,ESP,3:01
Extra player shot - Goal,4.0,1,2,4,USA,1.0,FATTAL R,4 - 1,166,USA,2:46
Time-Out,,1,2,4,USA,1.0,,4 - 1,166,ESP,2:46
Centre shot - Post,12.0,1,2,4,USA,1.0,LEITON ARRONES P,4 - 1,148,ESP,2:28
Centre shot - Goal,9.0,1,2,5,USA,1.0,FISCHER A,5 - 1,121,USA,2:01
Action shot - Missed,9.0,1,2,5,USA,1.0,FORCA ARIZA J,5 - 1,98,ESP,1:38
Turnover foul,10.0,1,2,5,USA,1.0,NEUSHUL J,5 - 1,79,USA,1:19
Action shot - Saved,4.0,1,2,5,USA,1.0,ORTIZ MUNOZ B,5 - 1,47,ESP,0:47
5m shot - Goal,10.0,1,2,6,USA,1.0,NEUSHUL J,6 - 1,18,USA,0:18
Action shot - Saved,3.0,1,2,6,USA,1.0,ESPAR LLAQUET A,6 - 1,1,ESP,0:01
Starting goalkeeper,1.0,1,2,6,USA,2.0,STONE G,6 - 1,480,USA,8:00
Starting goalkeeper,1.0,1,2,6,USA,2.0,ESTER RAMOS L,6 - 1,480,ESP,8:00
Sprint won possession,4.0,1,2,6,USA,2.0,FATTAL R,6 - 1,480,USA,8:00
20 sec. exclusion in centre,7.0,1,2,6,USA,2.0,ESPAR LLAQUET C,6 - 1,456,ESP,7:36
Action shot - Saved,2.0,1,2,6,USA,2.0,MUSSELMAN M,6 - 1,433,USA,7:13
Action shot - Post,2.0,1,2,6,USA,2.0,MUSSELMAN M,6 - 1,380,USA,6:20
20 sec. exclusion in field,11.0,1,2,6,USA,2.0,FISCHER M,6 - 1,377,USA,6:17
Action shot - Goal,6.0,2,2,6,USA,2.0,LLORET GOMEZ H,6 - 2,349,ESP,5:49
Penalty foul,5.0,2,2,6,USA,2.0,ORTIZ REYES M,6 - 2,326,ESP,5:26
Penalty shot - Goal,8.0,2,2,7,USA,2.0,NEUSHUL K,7 - 2,326,USA,5:26
20 sec. exclusion in centre,12.0,2,2,7,USA,2.0,WILLIAMS A,7 - 2,313,USA,5:13
Action shot - Goal,3.0,3,2,7,USA,2.0,ESPAR LLAQUET A,7 - 3,289,ESP,4:49
5m shot - Saved,6.0,3,2,7,USA,2.0,STEFFENS M,7 - 3,267,USA,4:27
