Action,Cap,FRA,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
5m shot,5.0,5,5,13,CHN,4.0,GUILLET L,13 - 5,88,FRA,1:28,Saved,0
Action shot,9.0,5,5,13,CHN,4.0,SACRE A,13 - 5,30,FRA,0:30,Saved,0
5m shot,11.0,0,6,0,NZL,1.0,HUDSON K,0 - 0,432,NZL,7:12,Missed,0
Extra player shot,12.0,0,6,0,NZL,1.0,DAULE A,0 - 0,403,FRA,6:43,Post,0
Action shot,8.0,0,6,1,NZL,1.0,LOPES da SILVA C,1 - 0,374,NZL,6:14,Goal,1
5m shot,3.0,0,6,1,NZL,1.0,MASON K,1 - 0,281,NZL,4:41,Blocked,0
Action shot,7.0,0,6,1,NZL,1.0,VALVERDE C,1 - 0,259,FRA,4:19,Saved,0
Extra player shot,10.0,0,6,1,NZL,1.0,BOWRY C,1 - 0,208,NZL,3:28,Saved,0
5m shot,7.0,0,6,1,NZL,1.0,VALVERDE C,1 - 0,182,FRA,3:02,Blocked,0
5m shot,8.0,0,6,1,NZL,1.0,LOPES da SILVA C,1 - 0,148,NZL,2:28,Missed,0
Action shot,12.0,0,6,1,NZL,1.0,DAULE A,1 - 0,128,FRA,2:08,Saved,0
5m shot,3.0,0,6,1,NZL,1.0,MASON K,1 - 0,102,NZL,1:42,Post,0
Centre shot,9.0,0,6,1,NZL,1.0,STONEMAN E,1 - 0,46,NZL,0:46,Saved,0
Centre shot,3.0,0,6,1,NZL,1.0,BACHELIER L,1 - 0,10,FRA,0:10,Saved,0
5m shot,3.0,0,6,1,NZL,1.0,MASON K,1 - 0,1,NZL,0:01,Saved,0
Extra player shot,8.0,0,6,1,NZL,2.0,LOPES da SILVA C,1 - 0,457,NZL,7:37,Saved,0
Extra player shot,8.0,0,6,1,NZL,2.0,BATTU A,1 - 0,424,FRA,7:04,Saved,0
5m shot,11.0,0,6,2,NZL,2.0,HUDSON K,2 - 0,397,NZL,6:37,Goal,1
5m shot,5.0,0,6,2,NZL,2.0,BOYD A,2 - 0,344,NZL,5:44,Blocked,0
Extra player shot,7.0,1,6,2,NZL,2.0,VALVERDE C,2 - 1,318,FRA,5:18,Goal,1
Extra player shot,3.0,1,6,2,NZL,2.0,MASON K,2 - 1,274,NZL,4:34,Post,0
Extra player shot,12.0,2,6,2,NZL,2.0,DAULE A,2 - 2,244,FRA,4:04,Goal,1
5m shot,3.0,2,6,2,NZL,2.0,MASON K,2 - 2,222,NZL,3:42,Saved,0
Extra player shot,2.0,2,6,2,NZL,2.0,MILLOT E,2 - 2,181,FRA,3:01,Missed,0
5m shot,6.0,2,6,2,NZL,2.0,DOYLE B,2 - 2,152,NZL,2:32,Saved,0
5m shot,8.0,2,6,2,NZL,2.0,LOPES da SILVA C,2 - 2,107,NZL,1:47,Saved,0
5m shot,3.0,2,6,3,NZL,2.0,MASON K,3 - 2,50,NZL,0:50,Goal,1
5m shot,8.0,2,6,3,NZL,4.0,LOPES da SILVA C,3 - 2,50,NZL,0:50,Saved,0
5m shot,12.0,2,6,3,NZL,4.0,PYE B,3 - 2,42,NZL,0:42,Missed,0
5m shot,3.0,3,6,3,NZL,3.0,BACHELIER L,3 - 3,451,FRA,7:31,Goal,1
5m shot,12.0,3,6,3,NZL,3.0,PYE B,3 - 3,430,NZL,7:10,Saved,0
Extra player shot,2.0,4,6,3,NZL,3.0,MILLOT E,3 - 4,396,FRA,6:36,Goal,1
Extra player shot,6.0,4,6,3,NZL,3.0,DOYLE B,3 - 4,357,NZL,5:57,Saved,0
Action shot,9.0,4,6,3,NZL,3.0,SACRE A,3 - 4,330,FRA,5:30,Saved,0
Extra player shot,7.0,5,6,3,NZL,3.0,VALVERDE C,3 - 5,309,FRA,5:09,Goal,1
Action shot,12.0,5,6,4,NZL,3.0,PYE B,4 - 5,287,NZL,4:47,Goal,1
Action shot,12.0,5,6,4,NZL,3.0,DAULE A,4 - 5,260,FRA,4:20,Saved,0
5m shot,3.0,5,6,4,NZL,3.0,BACHELIER L,4 - 5,230,FRA,3:50,Saved,0
5m shot,7.0,5,6,4,NZL,3.0,HOUGHTON E,4 - 5,204,NZL,3:24,Post,0
5m shot,4.0,6,6,4,NZL,3.0,SACRE A,4 - 6,156,FRA,2:36,Goal,1
Centre shot,8.0,6,6,4,NZL,3.0,LOPES da SILVA C,4 - 6,137,NZL,2:17,Missed,0
Centre shot,5.0,6,6,4,NZL,3.0,GUILLET L,4 - 6,123,FRA,2:03,Missed,0
Action shot,8.0,6,6,4,NZL,3.0,LOPES da SILVA C,4 - 6,99,NZL,1:39,Saved,0
Extra player shot,12.0,7,6,4,NZL,3.0,DAULE A,4 - 7,82,FRA,1:22,Goal,1
5m shot,12.0,7,6,4,NZL,3.0,PYE B,4 - 7,57,NZL,0:57,Saved,0
5m shot,3.0,7,6,4,NZL,3.0,MASON K,4 - 7,32,NZL,0:32,Missed,0
Extra player shot,3.0,7,6,5,NZL,4.0,MASON K,5 - 7,432,NZL,7:12,Goal,1
Extra player shot,5.0,8,6,5,NZL,4.0,GUILLET L,5 - 8,389,FRA,6:29,Goal,1
Action shot,5.0,9,6,5,NZL,4.0,GUILLET L,5 - 9,343,FRA,5:43,Goal,1
Penalty shot,8.0,9,6,6,NZL,4.0,LOPES da SILVA C,6 - 9,319,NZL,5:19,Goal,1
Action shot,7.0,9,6,7,NZL,4.0,HOUGHTON E,7 - 9,276,NZL,4:36,Goal,1
Centre shot,2.0,9,6,7,NZL,4.0,LEWIS N,7 - 9,230,NZL,3:50,Saved,0
5m shot,7.0,9,6,7,NZL,4.0,HOUGHTON E,7 - 9,192,NZL,3:12,Missed,0
5m shot,3.0,9,6,7,NZL,4.0,MASON K,7 - 9,143,NZL,2:23,Saved,0
Action shot,3.0,9,6,7,NZL,4.0,MASON K,7 - 9,5,NZL,0:05,Saved,0
