AUS,Action,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
0,Action shot,7.0,1,0,HUN,1.0,GILCHRIST J,0 - 0,432,AUS,7:12,Missed,0
0,Action shot,9.0,1,0,HUN,1.0,ERDELYI B,0 - 0,375,HUN,6:15,Saved,0
1,Centre shot,6.0,1,0,HUN,1.0,EDWARDS L,1 - 0,348,AUS,5:48,Goal,1
1,Action shot,9.0,1,0,HUN,1.0,ERDELYI B,1 - 0,322,HUN,5:22,Saved,0
1,Action shot,3.0,1,0,HUN,1.0,FORD G,1 - 0,259,AUS,4:19,Saved,0
1,Action shot,10.0,1,0,HUN,1.0,VARGA D,1 - 0,241,HUN,4:01,Saved,0
1,5m shot,9.0,1,0,HUN,1.0,FORD A,1 - 0,218,AUS,3:38,Missed,0
1,Extra player shot,4.0,1,0,HUN,1.0,ZALANKI G,1 - 0,180,HUN,3:00,Post,0
1,Action shot,9.0,1,0,HUN,1.0,FORD A,1 - 0,153,AUS,2:33,Saved,0
1,Action shot,5.0,1,1,HUN,1.0,VAMOS M,1 - 1,101,HUN,1:41,Goal,1
1,Action shot,12.0,1,1,HUN,1.0,BROOKS N,1 - 1,71,AUS,1:11,Saved,0
1,5m shot,11.0,1,1,HUN,1.0,HOLLIS L,1 - 1,26,AUS,0:26,Blocked,0
1,Extra player shot,7.0,1,1,HUN,1.0,GILCHRIST J,1 - 1,3,AUS,0:03,Saved,0
1,5m shot,7.0,1,1,HUN,2.0,GILCHRIST J,1 - 1,424,AUS,7:04,Missed,0
1,Action shot,10.0,1,2,HUN,2.0,VARGA D,1 - 2,414,HUN,6:54,Goal,1
1,Action shot,3.0,1,2,HUN,2.0,MANHERCZ K,1 - 2,370,HUN,6:10,Post,0
1,5m shot,11.0,1,2,HUN,2.0,HOLLIS L,1 - 2,344,AUS,5:44,Saved,0
1,Action shot,7.0,1,2,HUN,2.0,GILCHRIST J,1 - 2,320,AUS,5:20,Saved,0
1,5m shot,11.0,1,2,HUN,2.0,HOLLIS L,1 - 2,274,AUS,4:34,Saved,0
1,Action shot,10.0,1,3,HUN,2.0,VARGA D,1 - 3,256,HUN,4:16,Goal,1
1,Extra player shot,5.0,1,3,HUN,2.0,VAMOS M,1 - 3,193,HUN,3:13,Blocked,0
1,Action shot,12.0,1,3,HUN,2.0,HARAI B,1 - 3,177,HUN,2:57,Post,0
1,5m shot,2.0,1,3,HUN,2.0,TOROK B,1 - 3,143,HUN,2:23,Post,0
1,Action shot,6.0,1,4,HUN,2.0,HOSNYANSZKY N,1 - 4,96,HUN,1:36,Goal,1
2,Action shot,8.0,1,4,HUN,2.0,YOUNGER A,2 - 4,61,AUS,1:01,Goal,1
2,5m shot,9.0,1,4,HUN,4.0,ERDELYI B,2 - 4,60,HUN,1:00,Missed,0
2,Extra player shot,10.0,1,5,HUN,2.0,VARGA D,2 - 5,30,HUN,0:30,Goal,1
2,Extra player shot,9.0,1,5,HUN,2.0,FORD A,2 - 5,5,AUS,0:05,Saved,0
2,Action shot,8.0,1,5,HUN,3.0,YOUNGER A,2 - 5,426,AUS,7:06,Saved,0
2,Action shot,11.0,1,5,HUN,3.0,MEZEI T,2 - 5,398,HUN,6:38,Saved,0
2,Penalty shot,10.0,1,6,HUN,3.0,VARGA D,2 - 6,364,HUN,6:04,Goal,1
2,5m shot,9.0,1,6,HUN,3.0,FORD A,2 - 6,336,AUS,5:36,Saved,0
2,Action shot,5.0,1,6,HUN,3.0,POWER N,2 - 6,302,AUS,5:02,Saved,0
2,Action shot,8.0,1,6,HUN,3.0,GOR-NAGY M,2 - 6,271,HUN,4:31,Post,0
2,5m shot,9.0,1,6,HUN,3.0,FORD A,2 - 6,192,AUS,3:12,Saved,0
2,Extra player shot,2.0,1,7,HUN,3.0,TOROK B,2 - 7,162,HUN,2:42,Goal,1
3,Centre shot,4.0,1,7,HUN,3.0,KAYES J,3 - 7,104,AUS,1:44,Goal,1
3,Centre shot,11.0,1,7,HUN,3.0,MEZEI T,3 - 7,17,HUN,0:17,Saved,0
3,Extra player shot,10.0,1,7,HUN,3.0,FANNON J,3 - 7,2,AUS,0:02,Missed,0
3,Action shot,10.0,1,7,HUN,4.0,FANNON J,3 - 7,453,AUS,7:33,Missed,0
3,Action shot,12.0,1,7,HUN,4.0,HARAI B,3 - 7,427,HUN,7:07,Saved,0
