Action,Cap,Game,KAZ,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Action shot,3.0,1,0,1,ESP,1.0,ESPAR A,0 - 1,459,ESP,7:39,Goal,1
Action shot,6.0,1,0,1,ESP,1.0,PAREJA J,0 - 1,428,ESP,7:08,Saved,0
Extra player shot,11.0,1,0,1,ESP,1.0,GARCIA M,0 - 1,412,ESP,6:52,Post,0
5m shot,5.0,1,0,1,ESP,1.0,ORTIZ M,0 - 1,316,ESP,5:16,Blocked,0
Centre shot,11.0,1,0,1,ESP,1.0,GARCIA M,0 - 1,303,ESP,5:03,Saved,0
Penalty shot,6.0,1,0,2,ESP,1.0,PAREJA J,0 - 2,263,ESP,4:23,Goal,1
Extra player shot,8.0,1,0,2,ESP,1.0,SAICHUK O,0 - 2,190,KAZ,3:10,Post,0
Action shot,7.0,1,0,3,ESP,1.0,ESPAR C,0 - 3,173,ESP,2:53,Goal,1
Extra player shot,10.0,1,0,3,ESP,1.0,TARRAGO R,0 - 3,106,ESP,1:46,Missed,0
Centre shot,10.0,1,0,4,ESP,1.0,TARRAGO R,0 - 4,72,ESP,1:12,Goal,1
5m shot,4.0,1,0,4,ESP,1.0,TUROVA A,0 - 4,47,KAZ,0:47,Saved,0
Centre shot,4.0,1,0,4,ESP,1.0,LEITON P,0 - 4,17,ESP,0:17,Missed,0
Action shot,11.0,1,0,4,ESP,2.0,GARCIA M,0 - 4,449,ESP,7:29,Saved,0
Counter attack,7.0,1,0,5,ESP,2.0,ESPAR C,0 - 5,417,ESP,6:57,Goal,1
Action shot,11.0,1,0,5,ESP,2.0,MIRSHINA A,0 - 5,330,KAZ,5:30,Saved,0
Action shot,10.0,1,0,5,ESP,2.0,TARRAGO R,0 - 5,288,ESP,4:48,Post,0
Centre shot,11.0,1,0,6,ESP,2.0,GARCIA M,0 - 6,281,ESP,4:41,Goal,1
Extra player shot,8.0,1,1,6,ESP,2.0,SAICHUK O,1 - 6,215,KAZ,3:35,Goal,1
Extra player shot,6.0,1,1,7,ESP,2.0,PAREJA J,1 - 7,175,ESP,2:55,Goal,1
Action shot,6.0,1,1,8,ESP,2.0,PAREJA J,1 - 8,149,ESP,2:29,Goal,1
Action shot,11.0,1,2,8,ESP,2.0,MIRSHINA A,2 - 8,92,KAZ,1:32,Goal,1
Action shot,6.0,1,2,9,ESP,2.0,PAREJA J,2 - 9,71,ESP,1:11,Goal,1
Action shot,4.0,1,2,9,ESP,2.0,TUROVA A,2 - 9,0,KAZ,0:00,Saved,0
