Action,Cap,Game,ITA,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Starting goalkeeper,1.0,1,0,0,FRA,1.0,GARSAU R,0 - 0,480,FRA,8:00
Starting goalkeeper,13.0,1,0,0,FRA,1.0,VOLAREVIC G,0 - 0,480,ITA,8:00
Sprint won possession,2.0,1,0,0,FRA,1.0,di FULVIO F,0 - 0,480,ITA,8:00
Turnover foul,4.0,1,0,0,FRA,1.0,FIGLIOLI P,0 - 0,460,ITA,7:40
20 sec. exclusion in centre,10.0,1,0,0,FRA,1.0,LAVERSANNE M,0 - 0,444,FRA,7:24
Turnover foul,7.0,1,0,0,FRA,1.0,CROUSILLAT U,0 - 0,442,FRA,7:22
Centre shot - Goal,9.0,1,1,0,FRA,1.0,RENZUTO IODICE V,0 - 1,422,ITA,7:02
Turnover foul,4.0,1,1,0,FRA,1.0,PIOT L,0 - 1,384,FRA,6:24
Steal,13.0,1,1,0,FRA,1.0,VOLAREVIC G,0 - 1,384,ITA,6:24
20 sec. exclusion in centre,4.0,1,1,0,FRA,1.0,PIOT L,0 - 1,373,FRA,6:13
Action shot - Goal,9.0,1,2,0,FRA,1.0,RENZUTO IODICE V,0 - 2,351,ITA,5:51
5m shot - Post,7.0,1,2,0,FRA,1.0,CROUSILLAT U,0 - 2,326,FRA,5:26
Turnover foul,4.0,1,2,0,FRA,1.0,FIGLIOLI P,0 - 2,314,ITA,5:14
Steal,3.0,1,2,0,FRA,1.0,KOVACEVIC I,0 - 2,314,FRA,5:14
Turnover foul,12.0,1,2,0,FRA,1.0,CAMARASA A,0 - 2,294,FRA,4:54
5m shot - Goal,2.0,1,3,0,FRA,1.0,di FULVIO F,0 - 3,269,ITA,4:29
20 sec. exclusion in centre,11.0,1,3,0,FRA,1.0,AICARDI M,0 - 3,246,ITA,4:06
Extra player shot - Goal,5.0,1,3,1,FRA,1.0,GUILLAUME D,1 - 3,230,FRA,3:50
20 sec. exclusion in centre,2.0,1,3,1,FRA,1.0,SAUDADIER R,1 - 3,211,FRA,3:31
Extra player shot - Saved,6.0,1,3,1,FRA,1.0,SIMON T,1 - 3,190,FRA,3:10
Turnover foul,9.0,1,3,1,FRA,1.0,MARZOUKI M,1 - 3,168,FRA,2:48
Counter attack - Goal,4.0,1,4,1,FRA,1.0,FIGLIOLI P,1 - 4,157,ITA,2:37
Turnover foul,5.0,1,4,1,FRA,1.0,PRESCIUTTI N,1 - 4,100,ITA,1:40
Steal,11.0,1,4,1,FRA,1.0,PEISSON M,1 - 4,100,FRA,1:40
Action shot - Saved,9.0,1,4,1,FRA,1.0,MARZOUKI M,1 - 4,79,FRA,1:19
Counter attack - Goal,2.0,1,5,1,FRA,1.0,di FULVIO F,1 - 5,67,ITA,1:07
Time-Out,,1,5,1,FRA,1.0,,1 - 5,62,FRA,1:02
5m shot - Post,7.0,1,5,1,FRA,1.0,CROUSILLAT U,1 - 5,36,FRA,0:36
Penalty foul,9.0,1,5,1,FRA,1.0,RENZUTO IODICE V,1 - 5,28,ITA,0:28
Penalty shot - Goal,7.0,1,5,2,FRA,1.0,CROUSILLAT U,2 - 5,28,FRA,0:28
Time-Out,,1,5,2,FRA,1.0,,2 - 5,28,ITA,0:28
Turnover foul,10.0,1,5,2,FRA,1.0,BODEGAS M,2 - 5,1,ITA,0:01
Steal,4.0,1,5,2,FRA,1.0,PIOT L,2 - 5,1,FRA,0:01
Starting goalkeeper,1.0,1,5,2,FRA,2.0,GARSAU R,2 - 5,480,FRA,8:00
Starting goalkeeper,13.0,1,5,2,FRA,2.0,VOLAREVIC G,2 - 5,480,ITA,8:00
Sprint won possession,2.0,1,5,2,FRA,2.0,di FULVIO F,2 - 5,480,ITA,8:00
Turnover foul,8.0,1,5,2,FRA,2.0,FONDELLI A,2 - 5,462,ITA,7:42
5m shot - Saved,7.0,1,5,2,FRA,2.0,CROUSILLAT U,2 - 5,436,FRA,7:16
5m shot - Goal,2.0,1,6,2,FRA,2.0,di FULVIO F,2 - 6,412,ITA,6:52
