Action,Cap,Game,NED,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
5m shot,11.0,1,1,0,ESP,1.0,KLAASSEN L,0 - 1,441,NED,7:21,Goal,1
Penalty shot,6.0,1,1,0,ESP,1.0,PAREJA J,0 - 1,418,ESP,6:58,Saved,0
Extra player shot,11.0,1,1,0,ESP,1.0,GARCIA GODOY M,0 - 1,360,ESP,6:00,Saved,0
Centre shot,11.0,1,1,0,ESP,1.0,GARCIA GODOY M,0 - 1,307,ESP,5:07,Saved,0
Action shot,6.0,1,2,0,ESP,1.0,STOMPHORST N,0 - 2,289,NED,4:49,Goal,1
5m shot,12.0,1,2,0,ESP,1.0,LOPEZ L,0 - 2,265,ESP,4:25,Missed,0
Extra player shot,12.0,1,2,0,ESP,1.0,van der MOLEN l,0 - 2,221,NED,3:41,Blocked,0
Centre shot,2.0,1,3,0,ESP,1.0,SMIT Y,0 - 3,218,NED,3:38,Goal,1
Extra player shot,8.0,1,3,1,ESP,1.0,PENA P,1 - 3,182,ESP,3:02,Goal,1
Action shot,3.0,1,3,2,ESP,1.0,ESPAR A,2 - 3,144,ESP,2:24,Goal,1
Extra player shot,8.0,1,3,2,ESP,1.0,SEVENICH V,2 - 3,107,NED,1:47,Saved,0
Centre shot,11.0,1,3,2,ESP,1.0,GARCIA GODOY M,2 - 3,82,ESP,1:22,Saved,0
5m shot,11.0,1,3,2,ESP,1.0,KLAASSEN L,2 - 3,64,NED,1:04,Blocked,0
Extra player shot,2.0,1,4,2,ESP,1.0,SMIT Y,2 - 4,14,NED,0:14,Goal,1
Centre shot,9.0,1,4,3,ESP,2.0,BLAS A,3 - 4,451,ESP,7:31,Goal,1
Extra player shot,11.0,1,4,3,ESP,2.0,KLAASSEN L,3 - 4,419,NED,6:59,Blocked,0
5m shot,7.0,1,4,4,ESP,2.0,MIRANDA L,4 - 4,396,ESP,6:36,Goal,1
5m shot,7.0,1,4,4,ESP,2.0,van BELKUM I,4 - 4,371,NED,6:11,Missed,0
Centre shot,7.0,1,4,4,ESP,2.0,MIRANDA L,4 - 4,339,ESP,5:39,Blocked,0
Extra player shot,7.0,1,4,4,ESP,2.0,van BELKUM I,4 - 4,295,NED,4:55,Post,0
Extra player shot,3.0,1,4,4,ESP,2.0,ESPAR A,4 - 4,250,ESP,4:10,Blocked,0
5m shot,12.0,1,4,5,ESP,2.0,LOPEZ L,5 - 4,245,ESP,4:05,Goal,1
Centre shot,8.0,1,4,6,ESP,2.0,PENA P,6 - 4,192,ESP,3:12,Goal,1
Action shot,9.0,1,4,6,ESP,2.0,SLAGTER C,6 - 4,168,NED,2:48,Saved,0
Action shot,3.0,1,4,7,ESP,2.0,ESPAR A,7 - 4,145,ESP,2:25,Goal,1
Extra player shot,2.0,1,5,7,ESP,2.0,SMIT Y,7 - 5,121,NED,2:01,Goal,1
5m shot,5.0,1,5,7,ESP,2.0,ORTIZ M,7 - 5,92,ESP,1:32,Saved,0
5m shot,2.0,1,5,7,ESP,2.0,SMIT Y,7 - 5,48,NED,0:48,Post,0
Action shot,3.0,1,5,7,ESP,2.0,ESPAR A,7 - 5,19,ESP,0:19,Blocked,0
5m shot,11.0,1,11,13,ESP,4.0,KLAASSEN L,13 - 11,56,NED,0:56,Goal,1
Centre shot,8.0,1,6,7,ESP,3.0,SEVENICH V,7 - 6,446,NED,7:26,Goal,1
5m shot,6.0,1,6,7,ESP,3.0,STOMPHORST N,7 - 6,393,NED,6:33,Post,0
Action shot,8.0,1,6,8,ESP,3.0,PENA P,8 - 6,347,ESP,5:47,Goal,1
Action shot,8.0,1,6,8,ESP,3.0,SEVENICH V,8 - 6,312,NED,5:12,Blocked,0
5m shot,7.0,1,7,8,ESP,3.0,van BELKUM I,8 - 7,308,NED,5:08,Goal,1
Extra player shot,6.0,1,7,9,ESP,3.0,PAREJA J,9 - 7,271,ESP,4:31,Goal,1
5m shot,7.0,1,7,9,ESP,3.0,van BELKUM I,9 - 7,241,NED,4:01,Missed,0
Centre shot,7.0,1,7,9,ESP,3.0,van BELKUM I,9 - 7,202,NED,3:22,Post,0
Centre shot,7.0,1,8,9,ESP,3.0,van BELKUM I,9 - 8,201,NED,3:21,Goal,1
Action shot,3.0,1,8,9,ESP,3.0,ESPAR A,9 - 8,172,ESP,2:52,Post,0
Centre shot,8.0,1,8,9,ESP,3.0,SEVENICH V,9 - 8,93,NED,1:33,Missed,0
Centre shot,9.0,1,8,10,ESP,3.0,BLAS A,10 - 8,70,ESP,1:10,Goal,1
Action shot,6.0,1,8,10,ESP,3.0,STOMPHORST N,10 - 8,1,NED,0:01,Missed,0
Action shot,3.0,1,8,10,ESP,4.0,ESPAR A,10 - 8,454,ESP,7:34,Post,0
Action shot,7.0,1,8,10,ESP,4.0,van BELKUM I,10 - 8,427,NED,7:07,Missed,0
Centre shot,7.0,1,8,10,ESP,4.0,van BELKUM I,10 - 8,385,NED,6:25,Missed,0
5m shot,6.0,1,8,10,ESP,4.0,PAREJA J,10 - 8,359,ESP,5:59,Post,0
5m shot,2.0,1,9,10,ESP,4.0,SMIT Y,10 - 9,342,NED,5:42,Goal,1
Action shot,10.0,1,9,11,ESP,4.0,MESEGUER O,11 - 9,300,ESP,5:00,Goal,1
Action shot,4.0,1,9,12,ESP,4.0,TARRAGO R,12 - 9,244,ESP,4:04,Goal,1
