Action,Cap,Game,Opponent,Opponent name,Period,Player,SRB,Score,Seconds,Team,Time,Result,Goal
Extra player shot,7.0,1,0,MNE,1.0,JANOVIC M,0,0 - 0,423,MNE,7:03,Saved,0
Action shot,6.0,1,0,MNE,1.0,PIJETLOVIC D,0,0 - 0,412,SRB,6:52,Saved,0
5m shot,9.0,1,0,MNE,1.0,IVOVIC A,0,0 - 0,392,MNE,6:32,Saved,0
5m shot,8.0,1,0,MNE,1.0,ALEKSIC M,0,0 - 0,350,SRB,5:50,Missed,0
Action shot,12.0,1,0,MNE,1.0,MITORVIC S,0,0 - 0,318,SRB,5:18,Post,0
5m shot,9.0,1,0,MNE,1.0,IVOVIC A,0,0 - 0,295,MNE,4:55,Blocked,0
Extra player shot,2.0,1,0,MNE,1.0,MANDIC D,0,0 - 0,259,SRB,4:19,Saved,0
Action shot,3.0,1,0,MNE,1.0,PASKOVIC V,0,0 - 0,239,MNE,3:59,Post,0
Extra player shot,10.0,1,0,MNE,1.0,FILIPOVIC F,1,1 - 0,211,SRB,3:31,Goal,1
Extra player shot,9.0,1,0,MNE,1.0,JAKSIC N,1,1 - 0,142,SRB,2:22,Saved,0
5m shot,6.0,1,0,MNE,1.0,RADOVIC A,1,1 - 0,119,MNE,1:59,Saved,0
Action shot,2.0,1,1,MNE,1.0,BRGULJAN D,1,1 - 1,85,MNE,1:25,Goal,1
5m shot,6.0,1,1,MNE,1.0,RADOVIC A,1,1 - 1,33,MNE,0:33,Saved,0
Extra player shot,5.0,1,1,MNE,1.0,CUK M,2,2 - 1,12,SRB,0:12,Goal,1
5m shot,7.0,1,1,MNE,2.0,JANOVIC M,2,2 - 1,454,MNE,7:34,Blocked,0
5m shot,6.0,1,1,MNE,2.0,RADOVIC A,2,2 - 1,431,MNE,7:11,Saved,0
5m shot,9.0,1,1,MNE,2.0,IVOVIC A,2,2 - 1,405,MNE,6:45,Saved,0
5m shot,10.0,1,2,MNE,2.0,MURISIC N,2,2 - 2,364,MNE,6:04,Goal,1
5m shot,10.0,1,2,MNE,2.0,FILIPOVIC F,2,2 - 2,340,SRB,5:40,Post,0
Action shot,2.0,1,2,MNE,2.0,MANDIC D,3,3 - 2,302,SRB,5:02,Goal,1
5m shot,8.0,1,2,MNE,2.0,ALEKSIC M,4,4 - 2,251,SRB,4:11,Goal,1
Action shot,8.0,1,2,MNE,2.0,ALEKSIC M,4,4 - 2,202,SRB,3:22,Missed,0
Action shot,2.0,1,2,MNE,2.0,BRGULJAN D,4,4 - 2,180,MNE,3:00,Saved,0
Action shot,10.0,1,2,MNE,2.0,FILIPOVIC F,5,5 - 2,127,SRB,2:07,Goal,1
Action shot,8.0,1,2,MNE,2.0,ALEKSIC M,6,6 - 2,106,SRB,1:46,Goal,1
Action shot,7.0,1,3,MNE,2.0,JANOVIC M,6,6 - 3,92,MNE,1:32,Goal,1
5m shot,2.0,1,3,MNE,2.0,BRGULJAN D,6,6 - 3,28,MNE,0:28,Missed,0
5m shot,8.0,1,3,MNE,2.0,ALEKSIC M,6,6 - 3,4,SRB,0:04,Saved,0
5m shot,4.0,1,3,MNE,3.0,RANDELOVIC S,6,6 - 3,421,SRB,7:01,Post,0
Action shot,2.0,1,4,MNE,3.0,BRGULJAN D,6,6 - 4,384,MNE,6:24,Goal,1
5m shot,11.0,1,4,MNE,3.0,PRLAINOVIC A,6,6 - 4,360,SRB,6:00,Post,0
Extra player shot,12.0,1,4,MNE,3.0,MITORVIC S,7,7 - 4,304,SRB,5:04,Goal,1
5m shot,5.0,1,5,MNE,3.0,BRGULJAN D,7,7 - 5,286,MNE,4:46,Goal,1
5m shot,10.0,1,5,MNE,3.0,FILIPOVIC F,7,7 - 5,257,SRB,4:17,Post,0
5m shot,8.0,1,5,MNE,3.0,UKROPINA A,7,7 - 5,206,MNE,3:26,Blocked,0
Action shot,3.0,1,6,MNE,3.0,PASKOVIC V,7,7 - 6,206,MNE,3:26,Goal,1
Action shot,2.0,1,6,MNE,3.0,MANDIC D,8,8 - 6,191,SRB,3:11,Goal,1
