Action,Cap,Game,NED,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Starting goalkeeper,1.0,1,0,0,RSA,1.0,THOMAS R,0 - 0,480,RSA,8:00
Starting goalkeeper,13.0,1,0,0,RSA,1.0,WILLEMSZ D,0 - 0,480,NED,8:00
Sprint won possession,4.0,1,0,0,RSA,1.0,VAN DER SLOOT C,0 - 0,480,NED,8:00
Action shot - Goal,11.0,1,1,0,RSA,1.0,KLAASSEN L,0 - 1,454,NED,7:34
Turnover foul,12.0,1,1,0,RSA,1.0,WHITE K,0 - 1,424,RSA,7:04
Steal,5.0,1,1,0,RSA,1.0,GENEE A,0 - 1,424,NED,7:04
Action shot - Saved,11.0,1,1,0,RSA,1.0,KLAASSEN L,0 - 1,411,NED,6:51
Action shot - Post,7.0,1,1,0,RSA,1.0,NIJHUIS M,0 - 1,385,NED,6:25
Centre shot - Goal,4.0,1,1,1,RSA,1.0,VERSFELD R,1 - 1,360,RSA,6:00
20 sec. exclusion in centre,3.0,1,1,1,RSA,1.0,PALEY K,1 - 1,337,RSA,5:37
Extra player shot - Goal,4.0,1,2,1,RSA,1.0,VAN DER SLOOT C,1 - 2,336,NED,5:36
Action shot - Goal,11.0,1,3,1,RSA,1.0,KLAASSEN L,1 - 3,292,NED,4:52
Turnover foul,10.0,1,3,1,RSA,1.0,KILLEEN L,1 - 3,269,RSA,4:29
Steal,10.0,1,3,1,RSA,1.0,VAN TOORN I,1 - 3,269,NED,4:29
Centre shot - Goal,12.0,1,4,1,RSA,1.0,VAN DER MOLEN L,1 - 4,251,NED,4:11
Turnover foul,12.0,1,4,1,RSA,1.0,WHITE K,1 - 4,223,RSA,3:43
Turnover foul,3.0,1,4,1,RSA,1.0,GENEE D,1 - 4,202,NED,3:22
Steal,12.0,1,4,1,RSA,1.0,WHITE K,1 - 4,202,RSA,3:22
Time-Out,,1,4,1,RSA,1.0,,1 - 4,202,RSA,3:22
Turnover foul,5.0,1,4,1,RSA,1.0,SCHOOLING M,1 - 4,188,RSA,3:08
Steal,4.0,1,4,1,RSA,1.0,VAN DER SLOOT C,1 - 4,188,NED,3:08
Action shot - Goal,4.0,1,5,1,RSA,1.0,VAN DER SLOOT C,1 - 5,171,NED,2:51
Turnover foul,11.0,1,5,1,RSA,1.0,O'HANLON D,1 - 5,136,RSA,2:16
Turnover foul,6.0,1,5,1,RSA,1.0,HALLENDORFF A,1 - 5,86,RSA,1:26
Counter attack - Goal,8.0,1,6,1,RSA,1.0,SEVENICH V,1 - 6,69,NED,1:09
Turnover foul,10.0,1,6,1,RSA,1.0,KILLEEN L,1 - 6,44,RSA,0:44
Steal,7.0,1,6,1,RSA,1.0,NIJHUIS M,1 - 6,44,NED,0:44
Action shot - Saved,3.0,1,6,1,RSA,1.0,GENEE D,1 - 6,24,NED,0:24
Starting goalkeeper,1.0,1,6,1,RSA,2.0,THOMAS R,1 - 6,480,RSA,8:00
Starting goalkeeper,13.0,1,6,1,RSA,2.0,WILLEMSZ D,1 - 6,480,NED,8:00
Sprint won possession,6.0,1,6,1,RSA,2.0,STOMPHORST N,1 - 6,480,NED,8:00
Centre shot - Missed,9.0,1,6,1,RSA,2.0,MEGENS M,1 - 6,463,NED,7:43
Centre shot - Saved,10.0,1,6,1,RSA,2.0,VAN TOORN I,1 - 6,416,NED,6:56
Action shot - Goal,7.0,1,7,1,RSA,2.0,NIJHUIS M,1 - 7,384,NED,6:24
5m shot - Saved,10.0,1,7,1,RSA,2.0,KILLEEN L,1 - 7,356,RSA,5:56
20 sec. exclusion in field,7.0,1,7,1,RSA,2.0,KAY K,1 - 7,351,RSA,5:51
Extra player shot - Goal,4.0,1,8,1,RSA,2.0,VAN DER SLOOT C,1 - 8,343,NED,5:43
Turnover foul,12.0,1,8,1,RSA,2.0,WHITE K,1 - 8,315,RSA,5:15
Steal,11.0,1,8,1,RSA,2.0,KLAASSEN L,1 - 8,315,NED,5:15
Turnover foul,4.0,1,8,1,RSA,2.0,VAN DER SLOOT C,1 - 8,302,NED,5:02
Steal,5.0,1,8,1,RSA,2.0,SCHOOLING M,1 - 8,302,RSA,5:02
Turnover foul,5.0,1,8,1,RSA,2.0,SCHOOLING M,1 - 8,281,RSA,4:41
Steal,9.0,1,8,1,RSA,2.0,MEGENS M,1 - 8,281,NED,4:41
Centre shot - Missed,11.0,1,8,1,RSA,2.0,KLAASSEN L,1 - 8,263,NED,4:23
Time-Out,,1,8,1,RSA,2.0,,1 - 8,263,RSA,4:23
Turnover foul,2.0,1,8,1,RSA,2.0,PARKES M,1 - 8,244,RSA,4:04
Steal,4.0,1,8,1,RSA,2.0,VAN DER SLOOT C,1 - 8,244,NED,4:04
Action shot - Saved,7.0,1,8,1,RSA,2.0,NIJHUIS M,1 - 8,228,NED,3:48
Turnover foul,5.0,1,8,1,RSA,2.0,SCHOOLING M,1 - 8,204,RSA,3:24
Action shot - Goal,11.0,1,9,1,RSA,2.0,KLAASSEN L,1 - 9,195,NED,3:15
Turnover foul,10.0,1,9,1,RSA,2.0,KILLEEN L,1 - 9,167,RSA,2:47
Turnover foul,2.0,1,9,1,RSA,2.0,SMIT M,1 - 9,154,NED,2:34
Steal,1.0,1,9,1,RSA,2.0,THOMAS R,1 - 9,154,RSA,2:34
Turnover foul,6.0,1,9,1,RSA,2.0,HALLENDORFF A,1 - 9,125,RSA,2:05
20 sec. exclusion in centre,10.0,1,9,1,RSA,2.0,KILLEEN L,1 - 9,119,RSA,1:59
Extra player shot - Goal,4.0,1,10,1,RSA,2.0,VAN DER SLOOT C,1 - 10,117,NED,1:57
Turnover foul,2.0,1,10,1,RSA,2.0,PARKES M,1 - 10,88,RSA,1:28
Action shot - Post,4.0,1,10,1,RSA,2.0,VAN DER SLOOT C,1 - 10,70,NED,1:10
Action shot - Goal,2.0,1,11,1,RSA,2.0,SMIT M,1 - 11,20,NED,0:20
Starting goalkeeper,1.0,1,11,1,RSA,3.0,THOMAS R,1 - 11,480,RSA,8:00
Starting goalkeeper,1.0,1,11,1,RSA,3.0,AARTS L,1 - 11,480,NED,8:00
Sprint won possession,6.0,1,11,1,RSA,3.0,STOMPHORST N,1 - 11,480,NED,8:00
Action shot - Saved,5.0,1,11,1,RSA,3.0,GENEE A,1 - 11,448,NED,7:28
Turnover foul,3.0,1,11,1,RSA,3.0,PALEY K,1 - 11,429,RSA,7:09
Steal,5.0,1,11,1,RSA,3.0,GENEE A,1 - 11,429,NED,7:09
Action shot - Saved,11.0,1,11,1,RSA,3.0,KLAASSEN L,1 - 11,414,NED,6:54
Turnover foul,3.0,1,11,1,RSA,3.0,PALEY K,1 - 11,384,RSA,6:24
Action shot - Post,11.0,1,11,1,RSA,3.0,KLAASSEN L,1 - 11,372,NED,6:12
Turnover foul,3.0,1,11,1,RSA,3.0,PALEY K,1 - 11,358,RSA,5:58
Centre shot - Post,12.0,1,11,1,RSA,3.0,VAN DER MOLEN L,1 - 11,348,NED,5:48
Centre shot - Goal,5.0,1,12,1,RSA,3.0,GENEE A,1 - 12,345,NED,5:45
20 sec. exclusion in field,9.0,1,12,1,RSA,3.0,MEGENS M,1 - 12,323,NED,5:23
Extra player shot - Saved,7.0,1,12,1,RSA,3.0,NIJHUIS M,1 - 12,318,NED,5:18
Action shot - Saved,9.0,1,12,1,RSA,3.0,MEGENS M,1 - 12,289,NED,4:49
Centre shot - Saved,12.0,1,12,1,RSA,3.0,WHITE K,1 - 12,259,RSA,4:19
20 sec. exclusion in field,12.0,1,12,1,RSA,3.0,WHITE K,1 - 12,259,RSA,4:19
Centre shot - Goal,9.0,1,13,1,RSA,3.0,MEGENS M,1 - 13,233,NED,3:53
Turnover foul,4.0,1,13,1,RSA,3.0,VERSFELD R,1 - 13,208,RSA,3:28
20 sec. exclusion in field,11.0,1,13,1,RSA,3.0,O'HANLON D,1 - 13,207,RSA,3:27
Extra player shot - Post,5.0,1,13,1,RSA,3.0,GENEE A,1 - 13,199,NED,3:19
Centre shot - Saved,5.0,1,13,1,RSA,3.0,GENEE A,1 - 13,179,NED,2:59
Centre shot - Saved,7.0,1,13,1,RSA,3.0,KAY K,1 - 13,155,RSA,2:35
