Action,Cap,Game,Opponent,Opponent name,Period,Player,SRB,Score,Seconds,Team,Time
Starting goalkeeper,13.0,1,0,RSA,1.0,MITROVIC B,0,0 - 0,480,SRB,8:00
Starting goalkeeper,1.0,1,0,RSA,1.0,LEWIS J,0,0 - 0,480,RSA,8:00
Sprint won possession,11.0,1,0,RSA,1.0,MOLYNEUX N,0,0 - 0,480,RSA,8:00
Action shot - Post,8.0,1,0,RSA,1.0,ALEKSIC M,0,0 - 0,435,SRB,7:15
Action shot - Blocked,10.0,1,0,RSA,1.0,FILIPOVIC F,0,0 - 0,417,SRB,6:57
Turnover foul,10.0,1,0,RSA,1.0,le ROUX P,0,0 - 0,400,RSA,6:40
Counter attack - Goal,5.0,1,0,RSA,1.0,CUK M,1,1 - 0,391,SRB,6:31
Centre shot - Missed,5.0,1,0,RSA,1.0,BROWN C,1,1 - 0,376,RSA,6:16
Turnover foul,6.0,1,0,RSA,1.0,PIJETLOVIC D,1,1 - 0,360,SRB,6:00
Steal,1.0,1,0,RSA,1.0,LEWIS J,1,1 - 0,360,RSA,6:00
Action shot - Goal,11.0,1,1,RSA,1.0,MOLYNEUX N,1,1 - 1,333,RSA,5:33
Centre shot - Goal,6.0,1,1,RSA,1.0,PIJETLOVIC D,2,2 - 1,321,SRB,5:21
Turnover foul,4.0,1,1,RSA,1.0,BADENHORST N,2,2 - 1,296,RSA,4:56
Steal,4.0,1,1,RSA,1.0,RANDELOVIC S,2,2 - 1,296,SRB,4:56
20 sec. exclusion in centre,8.0,1,1,RSA,1.0,RODDA N,2,2 - 1,284,RSA,4:44
Extra player shot - Saved,11.0,1,1,RSA,1.0,PRLAINOVIC A,2,2 - 1,276,SRB,4:36
Action shot - Goal,5.0,1,1,RSA,1.0,CUK M,3,3 - 1,227,SRB,3:47
Time-Out,,1,1,RSA,1.0,,3,3 - 1,227,RSA,3:47
Turnover foul,3.0,1,1,RSA,1.0,CARD D,3,3 - 1,191,RSA,3:11
Steal,2.0,1,1,RSA,1.0,MANDIC D,3,3 - 1,191,SRB,3:11
20 sec. exclusion in centre,2.0,1,1,RSA,1.0,le ROUX E,3,3 - 1,177,RSA,2:57
Extra player shot - Goal,3.0,1,1,RSA,1.0,RASOVIC V,4,4 - 1,167,SRB,2:47
Turnover foul,3.0,1,1,RSA,1.0,RASOVIC V,4,4 - 1,145,SRB,2:25
Steal,2.0,1,1,RSA,1.0,le ROUX E,4,4 - 1,145,RSA,2:25
Action shot - Missed,8.0,1,1,RSA,1.0,ALEKSIC M,4,4 - 1,128,SRB,2:08
Action shot - Saved,2.0,1,1,RSA,1.0,le ROUX E,4,4 - 1,110,RSA,1:50
Counter attack - Goal,9.0,1,1,RSA,1.0,JAKSIC N,5,5 - 1,95,SRB,1:35
Turnover foul,8.0,1,1,RSA,1.0,RODDA N,5,5 - 1,84,RSA,1:24
Steal,2.0,1,1,RSA,1.0,MANDIC D,5,5 - 1,84,SRB,1:24
Centre shot - Goal,12.0,1,1,RSA,1.0,MITORVIC S,6,6 - 1,70,SRB,1:10
Turnover foul,4.0,1,1,RSA,1.0,BADENHORST N,6,6 - 1,49,RSA,0:49
Steal,11.0,1,1,RSA,1.0,PRLAINOVIC A,6,6 - 1,49,SRB,0:49
Action shot - Blocked,11.0,1,1,RSA,1.0,PRLAINOVIC A,6,6 - 1,24,SRB,0:24
5m shot - Saved,7.0,1,1,RSA,1.0,RABIE L,6,6 - 1,1,RSA,0:01
Starting goalkeeper,13.0,1,1,RSA,2.0,MITROVIC B,6,6 - 1,480,SRB,8:00
Starting goalkeeper,13.0,1,1,RSA,2.0,MTHEMBU T,6,6 - 1,480,RSA,8:00
Sprint won possession,12.0,1,1,RSA,2.0,MITORVIC S,6,6 - 1,473,SRB,7:53
Turnover foul,6.0,1,1,RSA,2.0,PIJETLOVIC D,6,6 - 1,458,SRB,7:38
